,OBJECTID,equipamien,x,y,identifica,codvia,numportal,telefono,geo_shape,geo_point_2d,grupo,geo_shape_2d,icono
75,24458,ASOCIACION SEXUALIDAD FUNCIONAL,725258.043,4371330.725,10213,24210,20,961154966.0,"{""coordinates"": [-0.38167970209160945, 39.46209885090612], ""type"": ""Point""}","39.46209885090612, -0.38167970209160945","['disc', 'toda_poblacion']","[39.46209885090612, -0.38167970209160945]",user-injured
76,21855,CENTRO DE DÍA BENICALAP PARA ENFERMOS DE ALZHEIMER,724188.998,4374453.179,9755,81756,6,96.0,"{""coordinates"": [-0.3930442228615234, 39.49048393452461], ""type"": ""Point""}","39.49048393452461, -0.3930442228615234",disc,"[39.49048393452461, -0.3930442228615234]",user-injured
77,21863,RESIDENCIA FRATER,723101.623,4371814.914,6650,73920,8,963595586.0,"{""coordinates"": [-0.4065591066140772, 39.46701868826569], ""type"": ""Point""}","39.46701868826569, -0.4065591066140772",disc,"[39.46701868826569, -0.4065591066140772]",user-injured
78,21872,INFOCIUDAD - CENTRO MUNICIPAL DE DÍA PARA PERSONAS CON DISCAPACIDAD INTELECTUAL FUENTE DE SAN LUÍS,726728.89,4370148.24,3282,81324,S/N,963333556.0,"{""coordinates"": [-0.3650015817631822, 39.45106913530625], ""type"": ""Point""}","39.45106913530625, -0.3650015817631822","['disc', 'disc_intelectual']","[39.45106913530625, -0.3650015817631822]",user-injured
79,21894,DIRECCIÓN GENERAL DE INTEGRACIÓN SOCIAL DE DISCAPACITADOS,723308.67,4372414.7,3386,17160,77,963428500.0,"{""coordinates"": [-0.4039538707155935, 39.47236386068413], ""type"": ""Point""}","39.47236386068413, -0.4039538707155935",disc,"[39.47236386068413, -0.4039538707155935]",user-injured
80,21911,INFOCIUDAD - BONAGENT - AMIGOS DE LAS PERSONAS CON DISCAPACIDAD INTELECTUAL,728938.632,4371110.527,1370,37290,25,963301477.0,"{""coordinates"": [-0.3390162658956736, 39.45914611838519], ""type"": ""Point""}","39.45914611838519, -0.3390162658956736",disc,"[39.45914611838519, -0.3390162658956736]",user-injured
81,21912,CENTRO OCUPACIONAL STELLA MARIS,729909.25,4373168.86,9585,81356,S/N,963550601.0,"{""coordinates"": [-0.32703686298272006, 39.47741416998388], ""type"": ""Point""}","39.47741416998388, -0.32703686298272006","['disc', 'disc_intelectual']","[39.47741416998388, -0.32703686298272006]",user-injured
82,21927,DELEGACIÓN TERRITORIAL DE LA ONCE DE LA COMUNIDAD VALENCIANA,725298.972,4371583.273,3385,62670,13,963800211.0,"{""coordinates"": [-0.3811191664904378, 39.46436137858077], ""type"": ""Point""}","39.46436137858077, -0.3811191664904378","['disc', 'disc_fisica', 'disc_sensorial']","[39.46436137858077, -0.3811191664904378]",user-injured
83,21959,CENTRO OCUPACIONAL LUZ VERDE,725199.24,4373898.002,3362,24690,31,963493647.0,"{""coordinates"": [-0.3814957893651872, 39.48522279284992], ""type"": ""Point""}","39.48522279284992, -0.3814957893651872","['disc', 'disc_intelectual']","[39.48522279284992, -0.3814957893651872]",user-injured
84,22020,LA CRUZ AZUL,725672.828,4372388.287,5469,17760,13,902456456.0,"{""coordinates"": [-0.37650544502088734, 39.47150952889318], ""type"": ""Point""}","39.47150952889318, -0.37650544502088734","['disc', 'mayores']","[39.47150952889318, -0.37650544502088734]",user-injured
85,22023,CENTRO OCUPACIONAL ALBAES,725205.134,4370504.32,3358,57900,24,963800247.0,"{""coordinates"": [-0.38257289698244734, 39.45467403637308], ""type"": ""Point""}","39.45467403637308, -0.38257289698244734","['disc', 'disc_intelectual']","[39.45467403637308, -0.38257289698244734]",user-injured
86,22024,COTTOLENGO DEL PADRE ALEGRE,727376.894,4373734.826,3383,25170,87,963692096.0,"{""coordinates"": [-0.3562559266282933, 39.4831812685578], ""type"": ""Point""}","39.4831812685578, -0.3562559266282933",disc,"[39.4831812685578, -0.3562559266282933]",user-injured
87,23493,KUIDALIA,725617.322,4371449.102,9599,33630,49,963415633.0,"{""coordinates"": [-0.3774676495983328, 39.463070315013546], ""type"": ""Point""}","39.463070315013546, -0.3774676495983328","['disc', 'disc_fisica', 'mayores']","[39.463070315013546, -0.3774676495983328]",user-injured
88,23549,CENTRO DE DÍA TORREFIEL,725087.093,4374781.307,9581,81213,9,963478367.0,"{""coordinates"": [-0.38250020339812507, 39.493202925062896], ""type"": ""Point""}","39.493202925062896, -0.38250020339812507","['disc', 'disc_fisica']","[39.493202925062896, -0.38250020339812507]",user-injured
89,23591,CENTRO DE DÍA AVAPACE L'HORTA DE SENABRE,724695.82,4370176.505,3352,15390,49,963786799.0,"{""coordinates"": [-0.38859689990758145, 39.45185631310782], ""type"": ""Point""}","39.45185631310782, -0.38859689990758145","['disc', 'disc_intelectual']","[39.45185631310782, -0.38859689990758145]",user-injured
